TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
3560,species,whtnig1,avibase-avibase-663835A6,White-tailed Nightjar,Hydropsalis cayennensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3567,species,latnig1,avibase-avibase-27032D18,Ladder-tailed Nightjar,Hydropsalis climacocerca,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3573,species,sctnig2,avibase-avibase-29AAC222,Scissor-tailed Nightjar,Hydropsalis torquata,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3576,species,lotnig2,avibase-avibase-9EFE07E9,Long-trained Nightjar,Hydropsalis forcipata,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3577,spuh,hydrop1,avibase-avibase-B3E94723,Hydropsalis sp.,Hydropsalis sp.,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3578,species,jampau,avibase-avibase-07EC934E,Jamaican Pauraque,Siphonorhis americana,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3579,species,leapau1,avibase-avibase-5E7F4216,Least Pauraque,Siphonorhis brewsteri,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3580,species,earpoo1,avibase-avibase-4175CC34,Eared Poorwill,Nyctiphrynus mcleodii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3583,species,yucpoo1,avibase-avibase-AD1A73F6,Yucatan Poorwill,Nyctiphrynus yucatanicus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3584,species,ocepoo1,avibase-avibase-F546974F,Ocellated Poorwill,Nyctiphrynus ocellatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3587,species,chopoo1,avibase-avibase-A7CDF961,Choco Poorwill,Nyctiphrynus rosenbergi,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3588,species,compoo,avibase-avibase-D621FFC6,Common Poorwill,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3594,species,chwwid,avibase-avibase-8D3E8871,Chuck-will's-widow,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3595,species,rufnig1,avibase-avibase-F331D204,Rufous Nightjar,Antrostomus rufus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3596,issf,rufnig2,avibase-avibase-97273B90,Rufous Nightjar (South American),Antrostomus rufus [rufus Group],Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,rufnig1
3600,issf,rufnig4,avibase-avibase-FE152A75,Rufous Nightjar (St. Lucia),Antrostomus rufus otiosus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,rufnig1
3601,issf,rufnig3,avibase-avibase-525648B8,Rufous Nightjar (Northern),Antrostomus rufus minimus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,rufnig1
3602,species,granig2,avibase-avibase-A89EA38B,Cuban Nightjar,Antrostomus cubanensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3605,species,granig3,avibase-avibase-592DBE50,Hispaniolan Nightjar,Antrostomus ekmani,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3606,species,tacnig1,avibase-avibase-100B2E32,Tawny-collared Nightjar,Antrostomus salvini,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3607,species,yucnig1,avibase-avibase-0D4BB435,Yucatan Nightjar,Antrostomus badius,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3608,species,sitnig1,avibase-avibase-2FEC9A38,Silky-tailed Nightjar,Antrostomus sericocaudatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3611,species,bucnig,avibase-avibase-C0F335B7,Buff-collared Nightjar,Antrostomus ridgwayi,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3614,species,easwpw1,avibase-avibase-1A09655B,Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3615,species,dusnig1,avibase-avibase-67D59645,Dusky Nightjar,Antrostomus saturatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3616,species,souwpw1,avibase-avibase-CED2468C,Mexican Whip-poor-will,Antrostomus arizonae,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3622,slash,whpwil,avibase-avibase-36F72976,Eastern/Mexican Whip-poor-will,Antrostomus vociferus/arizonae,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3623,species,purnig1,avibase-avibase-56DB04E7,Puerto Rican Nightjar,Antrostomus noctitherus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3624,spuh,antros1,avibase-avibase-A7B404C7,Antrostomus sp.,Antrostomus sp.,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3625,species,bronig1,avibase-avibase-BBC51216,Brown Nightjar,Veles binotatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3626,species,pewnig1,avibase-avibase-A526534E,Pennant-winged Nightjar,Caprimulgus vexillarius,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3627,species,stwnig1,avibase-avibase-D36F4D98,Standard-winged Nightjar,Caprimulgus longipennis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3628,species,rennig1,avibase-avibase-6CC3D04B,Red-necked Nightjar,Caprimulgus ruficollis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3631,species,grynig2,avibase-avibase-5FF16559,Jungle Nightjar,Caprimulgus indicus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3634,species,grynig1,avibase-avibase-7A2734EB,Gray Nightjar,Caprimulgus jotaka,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3637,slash,granig,avibase-avibase-E4D158C4,Jungle/Gray Nightjar,Caprimulgus indicus/jotaka,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3638,species,palnig1,avibase-avibase-625076EF,Palau Nightjar,Caprimulgus phalaena,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3639,species,eurnig1,avibase-avibase-80D4B0FE,Eurasian Nightjar,Caprimulgus europaeus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3646,slash,y00677,avibase-avibase-AD455318,Red-necked/Eurasian Nightjar,Caprimulgus ruficollis/europaeus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3647,species,somnig1,avibase-avibase-E93A0F33,Sombre Nightjar,Caprimulgus fraenatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3648,species,rucnig1,avibase-avibase-05E2FB2A,Rufous-cheeked Nightjar,Caprimulgus rufigena,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3651,species,egynig1,avibase-avibase-2F7F0244,Egyptian Nightjar,Caprimulgus aegyptius,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3654,species,nubnig1,avibase-avibase-626D56E4,Nubian Nightjar,Caprimulgus nubicus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3655,issf,nubnig2,avibase-avibase-00B66A15,Nubian Nightjar (Nubian),Caprimulgus nubicus nubicus/tamaricis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,nubnig1
3658,issf,nubnig3,avibase-avibase-496D130D,Nubian Nightjar (Torrid),Caprimulgus nubicus torridus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,nubnig1
3659,issf,nubnig4,avibase-avibase-711E89C7,Nubian Nightjar (Socotra),Caprimulgus nubicus jonesi,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,nubnig1
3660,species,syknig1,avibase-avibase-C727BD31,Sykes's Nightjar,Caprimulgus mahrattensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3661,species,golnig1,avibase-avibase-589694DD,Golden Nightjar,Caprimulgus eximius,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3664,species,latnig2,avibase-avibase-04DDADF0,Large-tailed Nightjar,Caprimulgus macrurus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3671,species,timnig1,avibase-avibase-B408927B,Timor Nightjar,Caprimulgus ritae,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3672,species,andnig1,avibase-avibase-74E9F29B,Andaman Nightjar,Caprimulgus andamanicus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3673,species,meenig1,avibase-avibase-9ECE1498,Mees's Nightjar,Caprimulgus meesi,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3674,species,jernig1,avibase-avibase-FAFED39C,Jerdon's Nightjar,Caprimulgus atripennis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3677,species,phinig1,avibase-avibase-9D246A37,Philippine Nightjar,Caprimulgus manillensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3678,species,sulnig1,avibase-avibase-4C81CF34,Sulawesi Nightjar,Caprimulgus celebensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3681,species,dosnig1,avibase-avibase-D1D9B619,Donaldson Smith's Nightjar,Caprimulgus donaldsoni,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3682,species,finnig1,avibase-avibase-7E3578A2,Fiery-necked Nightjar,Caprimulgus pectoralis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3683,issf,bksnig1,avibase-avibase-AB8E1D95,Fiery-necked Nightjar (Black-shouldered),Caprimulgus pectoralis nigriscapularis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,finnig1
3684,issf,finnig6,avibase-avibase-62ED1974,Fiery-necked Nightjar (Fiery-necked),Caprimulgus pectoralis [pectoralis Group],Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,finnig1
3689,species,monnig1,avibase-avibase-FB96690D,Montane Nightjar,Caprimulgus poliocephalus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3690,issf,abynig1,avibase-avibase-FF9908ED,Montane Nightjar (Abyssinian),Caprimulgus poliocephalus poliocephalus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,monnig1
3691,issf,monnig2,avibase-avibase-CEEE7367,Montane Nightjar (Rwenzori),Caprimulgus poliocephalus [ruwenzorii Group],Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,monnig1
3695,species,indnig1,avibase-avibase-65D4C83B,Indian Nightjar,Caprimulgus asiaticus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3698,species,madnig1,avibase-avibase-0F8EB10D,Madagascar Nightjar,Caprimulgus madagascariensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3701,species,swanig1,avibase-avibase-52E6406E,Swamp Nightjar,Caprimulgus natalensis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3704,species,planig1,avibase-avibase-7C3959D6,Plain Nightjar,Caprimulgus inornatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3705,species,stsnig1,avibase-avibase-CE884D49,Star-spotted Nightjar,Caprimulgus stellatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3706,species,necnig1,avibase-avibase-4535D9AB,Nechisar Nightjar,Caprimulgus solala,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3707,species,savnig1,avibase-avibase-50EDFCF2,Savanna Nightjar,Caprimulgus affinis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3708,issf,savnig12,avibase-avibase-BF791BCE,Savanna Nightjar (Northern),Caprimulgus affinis [monticolus Group],Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,savnig1
3712,issf,savnig13,avibase-avibase-89BD8DA8,Savanna Nightjar (Sunda),Caprimulgus affinis [affinis Group],Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,savnig1
3718,species,kaynig1,avibase-avibase-CD902871,Chirruping Nightjar,Caprimulgus griseatus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3721,species,frenig1,avibase-avibase-E3C780D6,Freckled Nightjar,Caprimulgus tristigma,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3727,species,bonnig1,avibase-avibase-CD7EFBB3,Bonaparte's Nightjar,Caprimulgus concretus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3728,species,salnig1,avibase-avibase-C5E09D25,Salvadori's Nightjar,Caprimulgus pulchellus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3731,species,itonig1,avibase-avibase-4B58353A,Itombwe Nightjar,Caprimulgus prigoginei,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3732,species,batnig2,avibase-avibase-CCA7AB2D,Bates's Nightjar,Caprimulgus batesi,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3733,species,lotnig1,avibase-avibase-A20EA34D,Long-tailed Nightjar,Caprimulgus climacurus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3737,species,sltnig1,avibase-avibase-54494BCE,Slender-tailed Nightjar,Caprimulgus clarus,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3738,species,sqtnig1,avibase-avibase-4FD242D0,Square-tailed Nightjar,Caprimulgus fossii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3742,spuh,caprim1,avibase-avibase-A52C2048,Caprimulgus sp.,Caprimulgus sp.,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3743,spuh,nightj1,avibase-avibase-CDC724FD,nightjar sp.,Caprimulgidae sp.,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nightjars,
3745,species,rufpot1,avibase-avibase-0B46DD95,Rufous Potoo,Phyllaemulor bracteatus,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3746,species,grepot1,avibase-avibase-EBEFFDBF,Great Potoo,Nyctibius grandis,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3747,species,lotpot1,avibase-avibase-407292B2,Long-tailed Potoo,Nyctibius aethereus,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3751,species,compot1,avibase-avibase-7333ADB3,Common Potoo,Nyctibius griseus,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3754,species,norpot1,avibase-avibase-5F312992,Northern Potoo,Nyctibius jamaicensis,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3755,issf,norpot2,avibase-avibase-F9476A90,Northern Potoo (Middle American),Nyctibius jamaicensis [mexicanus Group],Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,norpot1
3759,issf,norpot3,avibase-avibase-BBF038E8,Northern Potoo (Caribbean),Nyctibius jamaicensis jamaicensis/abbotti,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,norpot1
3762,species,andpot1,avibase-avibase-29C4EF9C,Andean Potoo,Nyctibius maculosus,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3763,species,whwpot1,avibase-avibase-46E2FA49,White-winged Potoo,Nyctibius leucopterus,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3764,spuh,potoo1,avibase-avibase-15A927F7,potoo sp.,Nyctibiidae sp.,Nyctibiiformes,Nyctibiidae (Potoos),Potoos and Oilbird,
3766,species,oilbir1,avibase-avibase-A820F165,Oilbird,Steatornis caripensis,Steatornithiformes,Steatornithidae (Oilbird),Potoos and Oilbird,
3768,species,tawfro1,avibase-avibase-8500F130,Tawny Frogmouth,Podargus strigoides,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3772,species,marfro1,avibase-avibase-A9003A7B,Marbled Frogmouth,Podargus ocellatus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3773,issf,marfro2,avibase-avibase-EFF86E2A,Marbled Frogmouth (Marbled),Podargus ocellatus [ocellatus Group],Podargiformes,Podargidae (Frogmouths),Frogmouths,marfro1
3778,issf,marfro3,avibase-avibase-DC27D543,Marbled Frogmouth (Plumed),Podargus ocellatus plumiferus,Podargiformes,Podargidae (Frogmouths),Frogmouths,marfro1
3779,species,papfro1,avibase-avibase-BA1D64E2,Papuan Frogmouth,Podargus papuensis,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3780,species,soifro1,avibase-avibase-42B0D7C0,Solomons Frogmouth,Rigidipenna inexpectata,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3781,species,larfro1,avibase-avibase-9E4E307A,Large Frogmouth,Batrachostomus auritus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3782,species,dulfro1,avibase-avibase-F595D563,Dulit Frogmouth,Batrachostomus harterti,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3783,species,phifro1,avibase-avibase-360A309E,Philippine Frogmouth,Batrachostomus septimus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3787,species,goufro1,avibase-avibase-E325D317,Gould's Frogmouth,Batrachostomus stellatus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3788,species,ceyfro1,avibase-avibase-8739173E,Sri Lanka Frogmouth,Batrachostomus moniliger,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3789,species,hodfro1,avibase-avibase-5CB94E3D,Hodgson's Frogmouth,Batrachostomus hodgsoni,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3792,species,shtfro3,avibase-avibase-5825E595,Sumatran Frogmouth,Batrachostomus poliolophus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3793,species,shtfro2,avibase-avibase-E882E75A,Bornean Frogmouth,Batrachostomus mixtus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3794,species,javfro3,avibase-avibase-D82D95FF,Javan Frogmouth,Batrachostomus javensis,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3795,species,javfro2,avibase-avibase-30D8DCD5,Blyth's Frogmouth,Batrachostomus affinis,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3796,issf,blyfro1,avibase-avibase-5C3F2900,Blyth's Frogmouth (Indochinese),Batrachostomus affinis continentalis,Podargiformes,Podargidae (Frogmouths),Frogmouths,javfro2
3797,issf,blyfro2,avibase-avibase-E91D453A,Blyth's Frogmouth (Blyth's),Batrachostomus affinis affinis,Podargiformes,Podargidae (Frogmouths),Frogmouths,javfro2
3798,species,palfro1,avibase-avibase-383DFFD1,Palawan Frogmouth,Batrachostomus chaseni,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3799,species,sunfro1,avibase-avibase-D3AF2371,Sunda Frogmouth,Batrachostomus cornutus,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3802,spuh,batrac1,avibase-avibase-B6950BD5,Batrachostomus sp.,Batrachostomus sp.,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3803,spuh,frogmo1,avibase-avibase-88CFA606,frogmouth sp.,Podargidae sp.,Podargiformes,Podargidae (Frogmouths),Frogmouths,
3805,species,nconig1,avibase-avibase-7D6D30A3,New Caledonian Owlet-nightjar,Aegotheles savesi,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3806,species,feonig1,avibase-avibase-76F38417,Feline Owlet-nightjar,Aegotheles insignis,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3807,species,spaown1,avibase-avibase-EBD55D2E,Starry Owlet-nightjar,Aegotheles tatei,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3808,species,waonig1,avibase-avibase-27853C12,Wallace's Owlet-nightjar,Aegotheles wallacii,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3812,species,moonig1,avibase-avibase-EC8099E3,Mountain Owlet-nightjar,Aegotheles albertisi,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3813,species,molown1,avibase-avibase-83BA78F5,Moluccan Owlet-nightjar,Aegotheles crinifrons,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3814,species,auonig1,avibase-avibase-175A7534,Australian Owlet-nightjar,Aegotheles cristatus,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3817,species,barown2,avibase-avibase-A2A0B21A,Vogelkop Owlet-nightjar,Aegotheles affinis,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3818,species,barown1,avibase-avibase-6417F60A,Barred Owlet-nightjar,Aegotheles bennettii,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3819,issf,barown3,avibase-avibase-BAA61581,Barred Owlet-nightjar (Barred),Aegotheles bennettii bennettii/wiedenfeldi,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,barown1
3822,issf,barown4,avibase-avibase-FEC830D7,Barred Owlet-nightjar (Dwarf),Aegotheles bennettii plumifer,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,barown1
3823,species,barown5,avibase-avibase-5FF84E4E,Karimui Owlet-nightjar,Aegotheles terborghi,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3824,spuh,owletn1,avibase-avibase-D714A1F1,owlet-nightjar sp.,Aegotheles sp.,Aegotheliformes,Aegothelidae (Owlet-nightjars),Owlet-nightjars,
3826,species,blkswi,avibase-avibase-7FB66FEB,Black Swift,Cypseloides niger,Apodiformes,Apodidae (Swifts),Swifts,
3827,issf,blkswi1,avibase-avibase-9C0D4669,Black Swift (borealis),Cypseloides niger borealis,Apodiformes,Apodidae (Swifts),Swifts,blkswi
3828,issf,blkswi2,avibase-avibase-2FDFE275,Black Swift (costaricensis),Cypseloides niger costaricensis,Apodiformes,Apodidae (Swifts),Swifts,blkswi
3829,issf,blkswi3,avibase-avibase-FF75894A,Black Swift (niger),Cypseloides niger niger,Apodiformes,Apodidae (Swifts),Swifts,blkswi
3830,species,whcswi2,avibase-avibase-B66A13A9,White-chested Swift,Cypseloides lemosi,Apodiformes,Apodidae (Swifts),Swifts,
3831,species,rotswi1,avibase-avibase-CB21F7A7,Rothschild's Swift,Cypseloides rothschildi,Apodiformes,Apodidae (Swifts),Swifts,
3832,species,sooswi1,avibase-avibase-9054A7CA,Sooty Swift,Cypseloides fumigatus,Apodiformes,Apodidae (Swifts),Swifts,
3833,species,whfswi1,avibase-avibase-DD9CB478,White-fronted Swift,Cypseloides storeri,Apodiformes,Apodidae (Swifts),Swifts,
3834,species,whcswi1,avibase-avibase-0770CE13,White-chinned Swift,Cypseloides cryptus,Apodiformes,Apodidae (Swifts),Swifts,
3835,species,spfswi1,avibase-avibase-258B1B37,Spot-fronted Swift,Cypseloides cherriei,Apodiformes,Apodidae (Swifts),Swifts,
3836,species,grdswi1,avibase-avibase-61C74CAD,Great Dusky Swift,Cypseloides senex,Apodiformes,Apodidae (Swifts),Swifts,
3837,spuh,cypsel1,avibase-avibase-C6FC9689,Cypseloides sp.,Cypseloides sp.,Apodiformes,Apodidae (Swifts),Swifts,
3838,species,chcswi1,avibase-avibase-50222B1F,Chestnut-collared Swift,Streptoprocne rutila,Apodiformes,Apodidae (Swifts),Swifts,
3842,species,tepswi1,avibase-avibase-152D907A,Tepui Swift,Streptoprocne phelpsi,Apodiformes,Apodidae (Swifts),Swifts,
3843,species,whcswi,avibase-avibase-88D7E68D,White-collared Swift,Streptoprocne zonaris,Apodiformes,Apodidae (Swifts),Swifts,
3853,species,whnswi1,avibase-avibase-6CDEB3D1,White-naped Swift,Streptoprocne semicollaris,Apodiformes,Apodidae (Swifts),Swifts,
3854,species,bisswi1,avibase-avibase-5267D127,Biscutate Swift,Streptoprocne biscutata,Apodiformes,Apodidae (Swifts),Swifts,
3857,spuh,strept2,avibase-avibase-02B4FF45,Streptoprocne sp.,Streptoprocne sp.,Apodiformes,Apodidae (Swifts),Swifts,
3858,species,phinee1,avibase-avibase-5B67443F,Philippine Spinetail,Mearnsia picina,Apodiformes,Apodidae (Swifts),Swifts,
3859,species,papnee1,avibase-avibase-BC8996E2,Papuan Spinetail,Mearnsia novaeguineae,Apodiformes,Apodidae (Swifts),Swifts,
3862,species,malspi1,avibase-avibase-B0A0EA81,Madagascar Spinetail,Zoonavena grandidieri,Apodiformes,Apodidae (Swifts),Swifts,
3865,species,satspi1,avibase-avibase-66F1256F,Sao Tome Spinetail,Zoonavena thomensis,Apodiformes,Apodidae (Swifts),Swifts,
3866,species,whrnee1,avibase-avibase-A24E5001,White-rumped Spinetail,Zoonavena sylvatica,Apodiformes,Apodidae (Swifts),Swifts,
3867,species,motspi1,avibase-avibase-8ACC245F,Mottled Spinetail,Telacanthura ussheri,Apodiformes,Apodidae (Swifts),Swifts,
3872,species,blaspi1,avibase-avibase-4B79BD9A,Black Spinetail,Telacanthura melanopygia,Apodiformes,Apodidae (Swifts),Swifts,
3873,species,sirnee1,avibase-avibase-737C55FF,Silver-rumped Spinetail,Rhaphidura leucopygialis,Apodiformes,Apodidae (Swifts),Swifts,
3874,species,sabspi1,avibase-avibase-1E12D857,Sabine's Spinetail,Rhaphidura sabini,Apodiformes,Apodidae (Swifts),Swifts,
3875,species,casspi1,avibase-avibase-4CB38AE8,Cassin's Spinetail,Neafrapus cassini,Apodiformes,Apodidae (Swifts),Swifts,
3876,slash,y01370,avibase-avibase-A71F0515,Sabine's/Cassin's Spinetail,Rhaphidura sabini/Neafrapus cassini,Apodiformes,Apodidae (Swifts),Swifts,
3877,species,balspi1,avibase-avibase-0D52DFC7,Bat-like Spinetail,Neafrapus boehmi,Apodiformes,Apodidae (Swifts),Swifts,
3880,species,grrswi1,avibase-avibase-0F898234,Gray-rumped Swift,Chaetura cinereiventris,Apodiformes,Apodidae (Swifts),Swifts,
3881,issf,gyrswi3,avibase-avibase-26A1357C,Gray-rumped Swift (phaeopygos),Chaetura cinereiventris phaeopygos,Apodiformes,Apodidae (Swifts),Swifts,grrswi1
3882,issf,gyrswi4,avibase-avibase-A5206A81,Gray-rumped Swift (occidentalis),Chaetura cinereiventris occidentalis,Apodiformes,Apodidae (Swifts),Swifts,grrswi1
3883,issf,gyrswi1,avibase-avibase-B842B8F9,Gray-rumped Swift (Ash-rumped),Chaetura cinereiventris [sclateri Group],Apodiformes,Apodidae (Swifts),Swifts,grrswi1
3888,issf,gyrswi2,avibase-avibase-4B8B96B0,Gray-rumped Swift (Gray-rumped),Chaetura cinereiventris cinereiventris,Apodiformes,Apodidae (Swifts),Swifts,grrswi1
3889,species,barswi,avibase-avibase-AEFB8157,Band-rumped Swift,Chaetura spinicaudus,Apodiformes,Apodidae (Swifts),Swifts,
3890,issf,barswi1,avibase-avibase-5AB57AB7,Band-rumped Swift (aetherodroma),Chaetura spinicaudus aetherodroma,Apodiformes,Apodidae (Swifts),Swifts,barswi
3891,issf,barswi2,avibase-avibase-C5C6C2B0,Band-rumped Swift (spinicaudus),Chaetura spinicaudus spinicaudus,Apodiformes,Apodidae (Swifts),Swifts,barswi
3892,issf,barswi3,avibase-avibase-DF7E9406,Band-rumped Swift (aethalea),Chaetura spinicaudus aethalea,Apodiformes,Apodidae (Swifts),Swifts,barswi
